src_ip,window_start,risk_score,severity,signature_score,signature_hits,isolation_score,ewma_score,ewma_top_deviation,rf_predicted_type,rf_confidence,true_attack_type
10.0.0.9,2026-08-10 04:25:00,0.8704,CRITICAL,0.95,"[{'rule': 'DATA_EXFILTRATION', 'reason': '73.8 MB outbound during off-hours (night_ratio=1.00)'}]",0.919,0.543,avg_duration (z=8.0),exfiltration,0.943,exfiltration
10.0.0.9,2026-08-10 04:27:00,0.8585,CRITICAL,0.95,"[{'rule': 'DATA_EXFILTRATION', 'reason': '141.0 MB outbound during off-hours (night_ratio=1.00)'}]",0.996,0.411,flow_count (z=5.4),exfiltration,0.967,exfiltration
10.0.0.19,2026-08-10 00:48:00,0.8492,CRITICAL,0.95,"[{'rule': 'DATA_EXFILTRATION', 'reason': '53.6 MB outbound during off-hours (night_ratio=1.00)'}]",0.925,0.421,avg_duration (z=8.0),exfiltration,0.933,exfiltration
185.220.186.30,2026-08-10 03:49:00,0.8274,CRITICAL,1.0,"[{'rule': 'SYN_FLOOD', 'reason': 'SYN ratio 1.00 with 15.3 flows/sec sustained against a single target'}]",1.0,0.142,flow_count (z=0.0),syn_flood,0.937,syn_flood
185.220.118.195,2026-08-10 01:14:00,0.826,CRITICAL,1.0,"[{'rule': 'SYN_FLOOD', 'reason': 'SYN ratio 1.00 with 11.2 flows/sec sustained against a single target'}]",0.998,0.142,flow_count (z=0.0),syn_flood,0.92,syn_flood
185.220.148.88,2026-08-10 05:09:00,0.8173,CRITICAL,1.0,"[{'rule': 'SYN_FLOOD', 'reason': 'SYN ratio 1.00 with 7.2 flows/sec sustained against a single target'}]",0.959,0.142,flow_count (z=0.0),syn_flood,0.803,syn_flood
185.220.239.128,2026-08-10 03:19:00,0.8061,CRITICAL,1.0,"[{'rule': 'SYN_FLOOD', 'reason': 'SYN ratio 1.00 with 6.0 flows/sec sustained against a single target'}]",0.944,0.142,flow_count (z=0.0),syn_flood,0.773,syn_flood
185.220.12.30,2026-08-10 00:32:00,0.7976,CRITICAL,0.9,"[{'rule': 'PORT_SCAN', 'reason': '206 distinct destination ports probed in one window with sub-200ms average flow duration'}]",0.996,0.142,flow_count (z=0.0),port_scan,0.99,port_scan
10.0.0.9,2026-08-10 04:30:00,0.7938,CRITICAL,0.95,"[{'rule': 'DATA_EXFILTRATION', 'reason': '77.5 MB outbound during off-hours (night_ratio=1.00)'}]",0.855,0.199,avg_packet_size (z=1.5),exfiltration,0.993,exfiltration
185.220.24.174,2026-08-10 02:29:00,0.7936,CRITICAL,0.9,"[{'rule': 'PORT_SCAN', 'reason': '144 distinct destination ports probed in one window with sub-200ms average flow duration'}]",0.976,0.142,flow_count (z=0.0),port_scan,0.997,port_scan
185.220.24.174,2026-08-10 05:12:00,0.7912,CRITICAL,0.9,"[{'rule': 'PORT_SCAN', 'reason': '147 distinct destination ports probed in one window with sub-200ms average flow duration'}]",0.964,0.142,flow_count (z=0.0),port_scan,0.993,port_scan
185.220.62.243,2026-08-10 04:31:00,0.79,CRITICAL,0.9,"[{'rule': 'PORT_SCAN', 'reason': '139 distinct destination ports probed in one window with sub-200ms average flow duration'}]",0.963,0.142,flow_count (z=0.0),port_scan,0.99,port_scan
10.0.0.9,2026-08-10 04:33:00,0.7833,CRITICAL,0.95,"[{'rule': 'DATA_EXFILTRATION', 'reason': '56.0 MB outbound during off-hours (night_ratio=1.00)'}]",0.826,0.186,avg_packet_size (z=2.1),exfiltration,0.987,exfiltration
10.0.0.9,2026-08-10 04:29:00,0.7705,CRITICAL,0.95,"[{'rule': 'DATA_EXFILTRATION', 'reason': '55.2 MB outbound during off-hours (night_ratio=1.00)'}]",0.812,0.195,avg_duration (z=1.6),exfiltration,0.947,exfiltration
185.220.56.67,2026-08-10 04:13:00,0.7701,CRITICAL,0.9,"[{'rule': 'PORT_SCAN', 'reason': '52 distinct destination ports probed in one window with sub-200ms average flow duration'}]",0.913,0.142,flow_count (z=0.0),port_scan,0.873,port_scan
185.220.12.30,2026-08-10 00:42:00,0.7652,CRITICAL,0.85,"[{'rule': 'BRUTE_FORCE_AUTH', 'reason': '77 connections to admin ports with 99% failure rate'}]",0.914,0.142,flow_count (z=0.0),brute_force,0.983,brute_force
10.0.0.19,2026-08-10 00:51:00,0.7648,CRITICAL,0.95,"[{'rule': 'DATA_EXFILTRATION', 'reason': '37.5 MB outbound during off-hours (night_ratio=1.00)'}]",0.757,0.177,avg_packet_size (z=1.7),exfiltration,0.977,exfiltration
185.220.22.147,2026-08-10 01:06:00,0.7623,CRITICAL,0.85,"[{'rule': 'BRUTE_FORCE_AUTH', 'reason': '54 connections to admin ports with 96% failure rate'}]",0.899,0.142,flow_count (z=0.0),brute_force,0.997,brute_force
185.220.23.140,2026-08-10 05:00:00,0.7601,CRITICAL,0.85,"[{'rule': 'BRUTE_FORCE_AUTH', 'reason': '60 connections to admin ports with 95% failure rate'}]",0.889,0.142,flow_count (z=0.0),brute_force,0.997,brute_force
185.220.22.147,2026-08-10 01:05:00,0.7593,CRITICAL,0.85,"[{'rule': 'BRUTE_FORCE_AUTH', 'reason': '58 connections to admin ports with 90% failure rate'}]",0.885,0.142,flow_count (z=0.0),brute_force,0.997,brute_force
185.220.12.30,2026-08-10 00:43:00,0.7577,CRITICAL,0.85,"[{'rule': 'BRUTE_FORCE_AUTH', 'reason': '31 connections to admin ports with 90% failure rate'}]",0.84,0.208,flow_count (z=-2.0),brute_force,0.963,brute_force
185.220.12.30,2026-08-10 00:41:00,0.7471,HIGH,0.85,"[{'rule': 'BRUTE_FORCE_AUTH', 'reason': '47 connections to admin ports with 91% failure rate'}]",0.849,0.142,flow_count (z=0.0),brute_force,0.977,brute_force
185.220.23.140,2026-08-10 04:59:00,0.7464,HIGH,0.85,"[{'rule': 'BRUTE_FORCE_AUTH', 'reason': '98 connections to admin ports with 88% failure rate'}]",0.91,0.142,flow_count (z=0.0),brute_force,0.923,brute_force
10.0.0.9,2026-08-10 04:28:00,0.742,HIGH,0.95,"[{'rule': 'DATA_EXFILTRATION', 'reason': '24.2 MB outbound during off-hours (night_ratio=1.00)'}]",0.733,0.197,total_bytes_recv (z=-1.5),exfiltration,0.9,exfiltration
10.0.0.19,2026-08-10 00:50:00,0.7414,HIGH,0.95,"[{'rule': 'DATA_EXFILTRATION', 'reason': '26.7 MB outbound during off-hours (night_ratio=1.00)'}]",0.716,0.171,total_bytes_recv (z=-1.4),exfiltration,0.927,exfiltration
185.220.23.140,2026-08-10 05:01:00,0.7301,HIGH,0.85,"[{'rule': 'BRUTE_FORCE_AUTH', 'reason': '30 connections to admin ports with 97% failure rate'}]",0.813,0.177,avg_packet_size (z=5.8),brute_force,0.923,brute_force
185.220.22.147,2026-08-10 01:07:00,0.6868,HIGH,0.85,"[{'rule': 'BRUTE_FORCE_AUTH', 'reason': '10 connections to admin ports with 100% failure rate'}]",0.782,0.142,flow_count (z=0.0),brute_force,0.697,brute_force
185.220.24.174,2026-08-10 05:13:00,0.4746,MEDIUM,0.0,[],0.841,0.142,flow_count (z=0.0),port_scan,0.777,port_scan
185.220.62.243,2026-08-10 04:32:00,0.4715,MEDIUM,0.0,[],0.84,0.142,flow_count (z=0.0),port_scan,0.767,port_scan
185.220.23.140,2026-08-10 05:02:00,0.4639,MEDIUM,0.0,[],0.801,0.173,interval_cv (z=1.0),brute_force,0.723,brute_force
